name,apparent magnitude,latitude,longitude,x,y,z,r,g,b
,5.29,-0.3130820132380634,-3.0885068063275964,181.306922,9.633925,-58.777132,1.0,0.8362666666666667,0.63544
,6.5,0.7802877520811463,-3.0867498706360763,99.949434,5.487173,99.082032,1.0,0.8850666666666667,0.7376780165289256
Algenib,2.83,0.2650037424926409,-3.0838402322400764,115.664183,6.687324,31.442127,0.6953125,0.7643125000000001,0.0
,5.78,-1.483424760467625,-3.08344727135899,26.003872,1.513836,-297.368888,1.0,0.7821875,0.49332644628099176
,6.24,0.4710215172801331,-3.0831297087015894,116.896409,6.841903,59.631571,1.0,0.9426666666666667,0.8868429752066116
,5.71,0.7162023162741055,-3.0826249594819126,26.282289,1.551559,22.915172,0.970675,0.961025,0.0
,5.94,-0.45417559933988383,-3.0817974116170794,355.958884,21.310082,-174.095773,1.0,0.8269333333333333,0.6228595041322313
,6.14,-0.4587590783017162,-3.081642164580115,237.398555,14.249219,-117.463162,1.0,0.8346666666666667,0.6324628099173555
,6.22,0.5795547120956452,-3.0803402362245897,86.185527,5.285684,56.517193,0.8338249999999999,0.872475,0.0
,5.13,-0.13579590095677946,-3.078496906735096,176.575373,11.155955,-24.174803,1.0,0.819996875,0.5983853305785124
,4.79,0.3526734808693232,-3.077876442186012,105.704826,6.744268,38.98495,1.0,0.8237333333333333,0.6139338842975206
,4.44,-0.3304408485388888,-3.077712293969862,129.488149,8.283,-44.507481,1.0,0.815,0.5692561983471075
,5.77,-0.16702052195336628,-3.076541788907012,102.180753,6.656346,-17.26328,0.7593099999999999,0.8177099999999999,0.0
,6.25,0.38893309750523336,-3.076441257942097,130.049339,8.484933,53.40861,0.81691,0.86731,0.0
,6.17,-0.6091936142003328,-3.076269779343088,159.213712,10.41521,-111.323904,1.0,0.8541333333333333,0.6703021487603307
,6.02,0.15395483009330405,-3.076227367842265,76.676686,5.019156,11.92437,0.9625999999999999,0.9558,0.0
,6.34,0.5504022332534888,-3.075637533821553,243.685175,16.095672,149.865392,1.0,0.8260000000000001,0.620625
,6.35,0.4761858592703217,-3.0753746872362027,119.83804,7.947067,61.944926,0.8184525,0.8686524999999999,0.0
,6.43,1.0646538456828545,-3.0721532457693344,64.313567,4.473022,116.305853,1.0,0.9216,0.8287094214876033
,6.49,-1.3249076222563152,-3.072148533380354,45.990882,3.198834,-183.697332,1.0,0.9022666666666667,0.7789900000000001
,5.66,-0.5488431131793897,-3.0711356315489593,129.530168,9.141561,-79.406606,1.0,0.8533333333333333,0.6686776859504132
,6.35,1.3430440366454892,-3.0707688506066524,43.311977,3.07278,187.341554,0.78711,0.84151,0.0
,6.12,0.7608771426182614,-3.0702143595032942,76.931585,5.500631,73.435278,0.8589,0.8887,0.0
,6.12,0.14381781817138084,-3.0693040830319163,123.386422,8.935011,17.915321,1.0,0.9107999999999999,0.8005066942148761
,6.5,-0.3527321064788977,-3.068700111844264,171.104476,12.494362,-63.156013,0.7435900000000001,0.80439,0.0
,5.74,1.073956677488787,-3.0676309231444923,90.370066,6.696118,167.128006,1.0,0.9136,0.8077143801652893
,4.61,0.6751219082579692,-3.0670156945831644,73.717927,5.507828,59.184918,0.8550749999999999,0.886225,0.0
,5.86,0.8368400850371919,-3.066758607584345,229.531844,17.208961,255.164977,0.762675625,0.8205756249999999,0.0
,6.46,-0.33250428150035155,-3.065038062007729,45.706036,3.505865,-15.829817,0.99405,0.97615,0.0
,6.11,0.8976767649745703,-3.0642846033696434,457.03369,35.402931,574.911987,0.717225625,0.782325625,0.0
,6.19,0.029473846317326285,-3.063947405758158,116.966373,9.10017,3.458869,1.0,0.9084,0.7943866942148761
,6.07,0.1955853309830838,-3.0617985563831027,150.432878,12.029176,29.8986,1.0,0.8952,0.7616839669421488
,4.51,0.6420232748836385,-3.061622627194502,32.988623,2.643715,24.744457,0.85295,0.88485,0.0
,5.88,0.5500793822484549,-3.060271218754682,141.610946,11.541536,87.12581,0.8092725,0.8606725,0.0
,6.47,-0.14055138211639587,-3.060008372169332,22.939133,1.875641,-3.256358,1.0,0.9434666666666667,0.8891319008264463
,6.1,0.7642995936550823,-3.0599866428201445,145.93616,11.935836,140.371588,0.7660724999999999,0.8234725,0.0
,6.33,-0.7546030679297773,-3.0599583684862623,81.678029,6.682639,-77.052863,1.0,0.872,0.7081322314049587
,3.56,-0.15400647438587056,-3.056822273619816,82.880324,7.042663,-12.912353,1.0,0.8714666666666666,0.7069600000000001
,6.35,0.7108631970126222,-3.0556669529214586,132.22443,11.389488,114.270874,1.0,0.8761333333333333,0.7173066942148761
,4.23,-1.1322787044931846,-3.0541144825518094,3.631914,0.318885,-7.774227,1.0,0.9565333333333333,0.9273600000000001
,5.89,0.5399283204260531,-3.052551802006037,136.477267,12.184297,82.120542,0.7500525,0.8098525000000001,0.0
,6.46,0.8546638760507483,-3.0520771597159566,142.760623,12.813558,164.705297,1.0,0.9581333333333333,0.9321500826446281
,5.38,0.14294719558060848,-3.051718232755284,123.225843,11.104763,17.807629,1.0,0.8542666666666667,0.6705734710743803
,5.5,-1.2151839732646028,-3.0514870638958578,33.829515,3.056494,-91.457047,0.7856725,0.8402724999999999,0.0
,5.79,0.5744085564362625,-3.051015824997819,160.4743,14.575103,104.287431,1.0,0.8206666666666667,0.6020299586776859
,5.16,0.6626771347325966,-3.0494348184948996,38.106993,3.521856,29.865569,1.0,0.9743999999999999,0.9822003305785124
,5.96,-1.3513538633734996,-3.047872137949127,37.889928,3.561585,-170.632895,1.0,0.8470666666666666,0.6561585950413223
,5.18,-0.5058220561146685,-3.047694376164811,88.239543,8.310005,-49.090933,1.0,0.8992,0.7714228099173555
,5.61,-0.3500785602440431,-3.0465979603287088,252.73287,24.080813,-92.695126,1.0,0.8226666666666667,0.6101652892561983
,6.25,0.23531380696062523,-3.0437464413968,148.890825,14.61509,35.868965,1.0,0.87,0.70375
,6.39,-0.21309489291811143,-3.0418337350695395,20.290476,2.030904,-4.412393,1.0,0.9454666666666667,0.8948802479338842
,6.43,-0.2782500933835771,-3.0409166518140793,323.198691,32.648816,-92.795032,1.0,0.8206666666666667,0.6020299586776859
,5.58,0.9079187759042935,-3.0357345947319825,187.712485,19.945498,241.786691,0.7423124999999999,0.8033124999999999,0.0
,6.08,-0.038729973112475446,-3.03471671871222,150.766261,16.174912,-5.875621,1.0,0.8712,0.7063748760330579
,6.48,0.24985285341534352,-3.03409808675885,173.890837,18.764634,44.631981,1.0,0.8785333333333334,0.722706694214876
,5.38,1.0791555246382876,-3.0334189791468993,100.927665,10.96058,189.582683,0.8333999999999999,0.8722,0.0
,5.72,0.9258410733008327,-3.032044008762178,94.5505,10.399574,126.444126,0.77856,0.83416,0.0
,5.77,0.03385401187459385,-3.0307491489901235,143.125834,15.92987,4.877167,1.0,0.9193333333333333,0.8227004132231406
,2.82,-1.3483409712989518,-3.029564506760332,1.635267,0.184517,-7.275205,1.0,0.9509333333333333,0.9107821487603306
,3.93,-0.7623568327581022,-3.0272606721477002,17.106924,1.964466,-16.443574,0.9043749999999999,0.918125,0.0
Ankaa,2.4,-0.7383786617361632,-3.0269098609680487,19.083654,2.198282,-17.483284,1.0,0.8889333333333334,0.7467255371900826
,6.24,-0.32626542755617266,-3.0265645475755423,454.58265,52.521706,-154.83465,1.0,0.8184874999999999,0.5838719008264462
,6.16,-0.0008645139383903512,-3.0254254584392277,137.380141,16.031246,-0.119572,1.0,0.9142666666666667,0.8094412396694216
,5.99,-0.44588223106671976,-3.0227134785810166,157.722258,18.838748,-75.924977,1.0,0.8970666666666667,0.7662102479338844
,6.44,0.27969744257237844,-3.0215236003634693,111.866225,13.496606,32.363984,0.92775,0.93325,0.0
,4.86,-0.5760837409056192,-3.0197323689521474,115.288699,14.119065,-75.449377,1.0,0.8163875,0.5743512396694216
,6.4,0.3405842309125818,-3.01953104522293,161.023575,19.752974,57.493613,1.0,0.9013333333333333,0.7766776859504133
,5.01,0.3122939447209104,-3.0192079847783857,153.081675,18.829007,49.79621,1.0,0.8221333333333333,0.6081322314049586
,6.05,0.2870205299544813,-3.0184958904435724,222.391169,27.51478,66.143898,1.0,0.8226666666666667,0.6101652892561983
,5.18,0.7748293570185817,-3.018428084402132,61.44953,7.606996,60.623414,0.848275,0.881825,0.0
,6.05,0.17784639787775913,-3.017961557893074,35.698544,4.436079,6.466004,1.0,0.9737333333333333,0.9801007438016529
,6.44,-0.3549135935109654,-3.017885112471837,29.95859,3.725116,-11.18836,1.0,0.9541333333333333,0.9202195041322315
,5.42,-0.6966482058401217,-3.0174926751895255,87.684385,10.937992,-73.923068,1.0,0.8258666666666666,0.6202809917355372
,6.26,-0.8819647699960492,-3.0162870890087103,79.029067,9.955242,-96.740562,1.0,0.888,0.7445289256198346
,6.28,0.6440211532783965,-3.0152990581191568,128.576897,16.32533,97.31223,1.0,0.9112,0.8015319008264463
,6.15,-0.2594276424253218,-3.0112825319115424,40.97232,5.369549,-10.967399,0.9949,0.9767,0.0
,5.72,-0.06906847299453224,-3.0105214810912098,172.0102,22.675579,-12.00236,1.0,0.8273333333333334,0.623724173553719
,5.2,0.5192626272447666,-3.0101575799421694,54.029838,7.142605,31.151228,0.945175,0.944525,0.0
,5.94,1.046805794592695,-3.009244161878138,116.972486,15.572249,204.204968,0.817680625,0.867980625,0.0
,5.17,-0.41517333741080475,-3.0090454561427986,48.168847,6.422298,-21.420512,0.8844,0.9052,0.0
,5.67,-0.8415089280527392,-3.0087970085237767,28.456358,3.801349,-32.126245,0.9859749999999999,0.970925,0.0
,6.18,-0.7145305701033753,-3.008669512221919,96.986682,12.968248,-84.878596,0.9638749999999999,0.956625,0.0
,6.18,1.3442421877236905,-3.006737170940573,8.570709,1.163299,37.522191,1.0,0.9156,0.8129073553719008
,4.76,-0.8517820058431479,-3.004516064934485,34.558503,4.767165,-39.85461,0.83765,0.87495,0.0
,6.18,1.1609863338155928,-3.0044961681810123,92.003789,12.693144,213.798617,0.74875,0.80875,0.0
,5.88,0.5861102211260136,-3.00446553765264,95.851154,13.226847,64.242154,1.0,0.8822666666666666,0.7312131404958677
,4.36,-1.0988281952883594,-3.0039581704390854,18.64771,2.582977,-36.881102,0.77296,0.8293599999999999,0.0
,4.53,-1.0989563548153334,-3.0039003127743813,23.255404,3.222589,-46.009047,0.8924749999999999,0.910425,0.0
,5.59,0.9222237038931492,-3.0033350878961236,69.892874,9.725158,93.10087,1.0,0.8782666666666666,0.7221040495867769
,4.74,0.9515934587738867,-3.0029596675740193,66.52975,9.282854,94.252351,0.7500525,0.8098525000000001,0.0
,5.69,0.12139573035064236,-3.000236953940908,79.574268,11.323808,9.805512,0.8092725,0.8606725,0.0
,5.38,0.3542026336401655,-2.999386105930561,74.276339,10.634394,27.747369,1.0,0.8908,0.7511430578512397
,5.07,-1.1001072074708058,-2.9987779459527033,20.450292,2.940715,-40.603969,0.84615,0.88045,0.0
,6.26,0.4935833187074937,-2.9983965042446803,138.134196,19.916588,75.084658,1.0,0.9046666666666666,0.7849731404958677
,4.17,1.0983668175005947,-2.9976037756984244,45034.191856,6529.619087,89046.536344,0.88525,0.90575,0.0
,5.93,0.9580982310828994,-2.9968492698627873,64.961388,9.469096,93.390124,1.0,0.8950666666666667,0.7613619008264463
,6.41,1.2388668694836893,-2.996204981569414,48.927092,7.1641,143.462064,0.814605625,0.865305625,0.0
,6.11,-1.2438306382362387,-2.995910980856915,41.322307,6.063137,-123.149711,0.9426249999999999,0.942875,0.0
,5.55,-0.5158892723198045,-2.9946182154799628,141.992704,21.020865,-81.404016,1.0,0.8650666666666667,0.6930995041322314
,6.41,-0.6109015061398717,-2.9944168917507454,26.830543,3.977554,-18.993735,1.0,0.9510666666666666,0.9111734710743802
,6.47,1.1650134018118894,-2.9914289753377936,74.059894,11.205582,174.343992,0.783525625,0.8384256250000001,0.0
,5.57,-0.914082859943317,-2.9912218920220446,15.383147,2.330868,-20.183809,1.0,0.9704,0.9696647933884298
,6.39,0.23337036538523703,-2.9892133671188494,105.440533,16.192457,25.357173,1.0,0.8818666666666667,0.7302955371900827
,5.2,-0.0627069922171082,-2.987794414436978,20.961944,3.249574,-1.331907,1.0,0.9577333333333333,0.9309503305785124
